extracted simu data (only one row of particles
file structure:
  y  |  T  

0.99 0.823774 
0.98 0.656143 
0.97 0.504447 
0.96 0.373813 
0.95 0.26672 
0.94 0.1831 
0.93 0.120875 
0.92 0.0767146 
0.91 0.0468038 
0.9 0.0274523 
0.89 0.0154833 
0.88 0.00839986 
0.87 0.00438508 
0.86 0.00220383 
0.85 0.00106684 
0.84 0.000497701 
0.83 0.00022389 
0.82 9.71727e-05 
0.81 4.07145e-05 
0.8 1.64777e-05 
0.79 6.44518e-06 
0.78 2.43783e-06 
0.77 8.92151e-07 
0.76 3.16057e-07 
0.75 1.08444e-07 
0.74 3.60552e-08 
0.73 1.16213e-08 
0.72 3.63293e-09 
0.71 1.10195e-09 
0.7 3.24441e-10 
0.69 9.2757e-11 
0.68 2.57601e-11 
0.67 6.95159e-12 
0.66 1.82343e-12 
0.65 4.6504e-13 
0.64 1.15346e-13 
0.63 2.78314e-14 
0.62 6.5341e-15 
0.61 1.49294e-15 
0.6 3.3204e-16 
0.59 7.18948e-17 
0.58 1.51576e-17 
0.57 3.11201e-18 
0.56 6.2227e-19 
0.55 1.21194e-19 
0.54 2.2992e-20 
0.53 4.24912e-21 
0.52 7.6556e-22 
0.51 1.37967e-22 
0.5 4.58383e-23 
0.49 1.37967e-22 
0.48 7.6556e-22 
0.47 4.24912e-21 
0.46 2.2992e-20 
0.45 1.21194e-19 
0.44 6.2227e-19 
0.43 3.11201e-18 
0.42 1.51576e-17 
0.41 7.18948e-17 
0.4 3.3204e-16 
0.39 1.49294e-15 
0.38 6.5341e-15 
0.37 2.78314e-14 
0.36 1.15346e-13 
0.35 4.6504e-13 
0.34 1.82343e-12 
0.33 6.95159e-12 
0.32 2.57601e-11 
0.31 9.2757e-11 
0.3 3.24441e-10 
0.29 1.10195e-09 
0.28 3.63293e-09 
0.27 1.16213e-08 
0.26 3.60552e-08 
0.25 1.08444e-07 
0.24 3.16057e-07 
0.23 8.92151e-07 
0.22 2.43783e-06 
0.21 6.44518e-06 
0.2 1.64777e-05 
0.19 4.07145e-05 
0.18 9.71727e-05 
0.17 0.00022389 
0.16 0.000497701 
0.15 0.00106684 
0.14 0.00220383 
0.13 0.00438508 
0.12 0.00839986 
0.11 0.0154833 
0.1 0.0274523 
0.09 0.0468038 
0.08 0.0767146 
0.07 0.120875 
0.06 0.1831 
0.05 0.26672 
0.04 0.373813 
0.03 0.504447 
0.02 0.656143 
0.01 0.823774 
