extracted simu data (only one row of particles
file structure:
  y  |  U (is v_x)  

0.47508 0.0122637 
0.47508 0.0122636 
0.47508 0.0122636 
0.47508 0.0122637 
0.449955 0.0241693 
0.449955 0.0241693 
0.449955 0.0241693 
0.424856 0.0354276 
0.424856 0.0354276 
0.424856 0.0354275 
0.424856 0.0354275 
0.399785 0.0460849 
0.399785 0.0460849 
0.399785 0.0460848 
0.399785 0.0460848 
0.374737 0.0561384 
0.374737 0.0561382 
0.374737 0.0561382 
0.349708 0.065581 
0.349708 0.0655811 
0.349708 0.0655812 
0.349708 0.0655811 
0.324694 0.0744035 
0.324694 0.0744035 
0.324694 0.0744036 
0.324694 0.0744035 
0.299691 0.0825943 
0.299691 0.0825943 
0.299691 0.0825941 
0.299691 0.0825941 
0.274698 0.0901406 
0.274698 0.0901406 
0.274698 0.0901405 
0.249711 0.0970389 
0.249711 0.0970388 
0.249711 0.0970389 
0.249711 0.097039 
0.224731 0.103289 
0.224731 0.103289 
0.224731 0.103289 
0.224731 0.103289 
0.199754 0.10889 
0.199754 0.108891 
0.199754 0.108891 
0.199754 0.10889 
0.174781 0.113841 
0.174781 0.113841 
0.174781 0.113841 
0.14981 0.118139 
0.14981 0.118139 
0.14981 0.118139 
0.12484 0.121781 
0.12484 0.121781 
0.12484 0.121781 
0.12484 0.121781 
0.0998713 0.124765 
0.0998713 0.124765 
0.0998713 0.124765 
0.0749031 0.127089 
0.0749031 0.127089 
0.0499353 0.12875 
0.0499353 0.128751 
0.0499353 0.128751 
0.0249676 0.129748 
0.0249676 0.129748 
0 0.130081 
-0.0249676 0.129748 
-0.0249676 0.129748 
-0.0499353 0.12875 
-0.0499353 0.128751 
-0.0499353 0.128751 
-0.0749031 0.127089 
-0.0749031 0.127089 
-0.0998713 0.124765 
-0.0998713 0.124765 
-0.0998713 0.124765 
-0.12484 0.121781 
-0.12484 0.121781 
-0.12484 0.121781 
-0.12484 0.121781 
-0.14981 0.118139 
-0.14981 0.118139 
-0.14981 0.118139 
-0.174781 0.113841 
-0.174781 0.113841 
-0.174781 0.113841 
-0.199754 0.10889 
-0.199754 0.108891 
-0.199754 0.108891 
-0.199754 0.10889 
-0.224731 0.103289 
-0.224731 0.103289 
-0.224731 0.103289 
-0.224731 0.103289 
-0.249711 0.0970389 
-0.249711 0.0970388 
-0.249711 0.0970389 
-0.249711 0.097039 
-0.274698 0.0901406 
-0.274698 0.0901406 
-0.274698 0.0901405 
-0.299691 0.0825943 
-0.299691 0.0825943 
-0.299691 0.0825941 
-0.299691 0.0825941 
-0.324694 0.0744035 
-0.324694 0.0744035 
-0.324694 0.0744036 
-0.324694 0.0744035 
-0.349708 0.065581 
-0.349708 0.0655811 
-0.349708 0.0655812 
-0.349708 0.0655811 
-0.374737 0.0561384 
-0.374737 0.0561382 
-0.374737 0.0561382 
-0.374737 0.0561383 
-0.399785 0.0460849 
-0.399785 0.0460849 
-0.399785 0.0460848 
-0.399785 0.0460848 
-0.424856 0.0354276 
-0.424856 0.0354276 
-0.424856 0.0354275 
-0.424856 0.0354275 
-0.449955 0.0241693 
-0.449955 0.0241693 
-0.449955 0.0241693 
-0.449955 0.0241693 
-0.47508 0.0122637 
-0.47508 0.0122636 
-0.47508 0.0122636 
-0.47508 0.0122637 
