extracted simu data (only one row of particles
file structure:
  y  |  U (is v_x)  

0.487475 0.00626546 
0.487475 0.00626548 
0.487475 0.00626549 
0.487475 0.00626548 
0.462464 0.0182475 
0.462464 0.0182475 
0.462464 0.0182475 
0.462464 0.0182475 
0.437455 0.0295963 
0.437455 0.0295962 
0.437455 0.0295961 
0.412449 0.0403073 
0.412449 0.0403072 
0.412449 0.0403072 
0.412449 0.0403073 
0.387445 0.0503817 
0.387445 0.0503817 
0.387445 0.0503817 
0.387445 0.0503817 
0.362443 0.0598206 
0.362443 0.0598206 
0.362443 0.0598206 
0.362443 0.0598206 
0.337442 0.0686248 
0.337442 0.0686249 
0.337442 0.0686249 
0.337442 0.0686249 
0.312442 0.0767955 
0.312442 0.0767955 
0.312442 0.0767955 
0.312442 0.0767955 
0.287443 0.0843333 
0.287443 0.0843334 
0.287443 0.0843334 
0.287443 0.0843334 
0.262445 0.0912394 
0.262446 0.0912394 
0.262446 0.0912395 
0.262446 0.0912395 
0.237449 0.0975145 
0.237449 0.0975146 
0.237449 0.0975146 
0.237449 0.0975146 
0.212452 0.10316 
0.212452 0.10316 
0.212452 0.10316 
0.212452 0.10316 
0.187457 0.108175 
0.187457 0.108175 
0.187457 0.108175 
0.187457 0.108175 
0.162462 0.112562 
0.162462 0.112562 
0.162462 0.112562 
0.162462 0.112562 
0.137467 0.116321 
0.137467 0.116321 
0.137467 0.116321 
0.137467 0.116321 
0.112472 0.119453 
0.112472 0.119453 
0.112472 0.119453 
0.112472 0.119453 
0.0874783 0.121958 
0.0874783 0.121958 
0.0874783 0.121958 
0.0874783 0.121958 
0.0624843 0.123836 
0.0624844 0.123836 
0.0624844 0.123836 
0.0624844 0.123836 
0.0374906 0.125088 
0.0374906 0.125088 
0.0374906 0.125088 
0.0374906 0.125088 
0.0124968 0.125714 
0.0124968 0.125714 
0.0124968 0.125714 
-0.0124968 0.125714 
-0.0124968 0.125714 
-0.0124968 0.125714 
-0.0374906 0.125088 
-0.0374906 0.125088 
-0.0374906 0.125088 
-0.0374906 0.125088 
-0.0624844 0.123836 
-0.0624844 0.123836 
-0.0624844 0.123836 
-0.0624844 0.123836 
-0.0874783 0.121958 
-0.0874783 0.121958 
-0.0874783 0.121958 
-0.0874783 0.121958 
-0.112472 0.119453 
-0.112472 0.119453 
-0.112472 0.119453 
-0.112472 0.119453 
-0.137467 0.116321 
-0.137467 0.116321 
-0.137467 0.116321 
-0.137467 0.116321 
-0.162462 0.112562 
-0.162462 0.112562 
-0.162462 0.112562 
-0.162462 0.112562 
-0.187457 0.108175 
-0.187457 0.108175 
-0.187457 0.108175 
-0.187457 0.108175 
-0.212452 0.10316 
-0.212452 0.10316 
-0.212452 0.10316 
-0.212452 0.10316 
-0.237449 0.0975145 
-0.237449 0.0975146 
-0.237449 0.0975146 
-0.237449 0.0975146 
-0.262445 0.0912394 
-0.262446 0.0912394 
-0.262446 0.0912395 
-0.262446 0.0912395 
-0.287443 0.0843333 
-0.287443 0.0843334 
-0.287443 0.0843334 
-0.287443 0.0843334 
-0.312442 0.0767955 
-0.312442 0.0767955 
-0.312442 0.0767955 
-0.312442 0.0767955 
-0.337442 0.0686248 
-0.337442 0.0686249 
-0.337442 0.0686249 
-0.337442 0.0686249 
-0.362443 0.0598206 
-0.362443 0.0598206 
-0.362443 0.0598206 
-0.362443 0.0598206 
-0.387445 0.0503817 
-0.387445 0.0503817 
-0.387445 0.0503817 
-0.387445 0.0503817 
-0.412449 0.0403073 
-0.412449 0.0403072 
-0.412449 0.0403072 
-0.412449 0.0403073 
-0.437455 0.0295963 
-0.437455 0.0295962 
-0.437455 0.0295961 
-0.437455 0.0295962 
-0.462464 0.0182475 
-0.462464 0.0182475 
-0.462464 0.0182475 
-0.462464 0.0182475 
-0.487475 0.00626546 
-0.487475 0.00626548 
-0.487475 0.00626549 
-0.487475 0.00626548 
